GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,Application,5,3,0,0,2,1,1,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,DatabaseInitializer,147,25,1,1,19,11,2,3,1,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,FilmWebController,183,130,5,1,39,31,10,6,7,6
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,UserWebController,25,9,0,0,6,4,3,1,3,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,User,24,28,0,0,10,9,6,4,6,4
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Film,70,126,5,3,14,43,10,17,6,17
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Review,182,10,28,0,37,4,29,1,15,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,UserRestController,16,9,0,0,2,4,2,1,2,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,FilmRestController,81,9,4,0,16,4,9,1,7,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FilmService,78,151,8,6,13,30,9,12,3,11
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserComponent,0,10,0,0,0,2,0,2,0,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FavoriteFilmService,64,21,0,0,10,7,5,2,5,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserService,24,3,0,0,4,1,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,ReviewService,70,18,0,0,12,7,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service.exceptions,FilmNotFoundException,0,5,0,0,0,2,0,1,0,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,WebErrorHandler,45,3,4,0,9,1,3,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,RestErrorHandler,23,3,4,0,5,1,3,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,UserModelAttributes,0,18,0,0,0,5,0,3,0,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRatingOption,9,0,0,0,1,0,1,0,1,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,ImageUtils,52,14,4,2,13,3,5,2,2,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils,20,0,0,0,7,0,3,0,3,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRating,0,49,0,0,0,10,0,3,0,3
